product_id,product_name,product_slug,current_thumbnail_id,current_thumbnail_title,current_score,suggested_thumbnail_id,suggested_thumbnail_title,suggested_score,reason
2583,Some by mi Yuja Niacin 30 Days Blemish Care Serum 50ml,some-by-mi-yuja-niacin-blemish-care-serum-50ml,57071,49zPoutS3ws1xMaxgwhLgovOApdUx5SzQoAr8zo7,0,,,,no nearby attachment candidates
2583,Some by mi Yuja Niacin 30 Days Blemish Care Serum 50ml,some-by-mi-yuja-niacin-blemish-care-serum-50ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,,,,no nearby attachment candidates
2583,Some by mi Yuja Niacin 30 Days Blemish Care Serum 50ml,some-by-mi-yuja-niacin-blemish-care-serum-50ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,,,,no nearby attachment candidates
2586,Some By Me AHA-BHA-PHA 30 Days Miracle Serum 50ml,some-by-me-aha-bha-pha-30-days-miracle-serum-50ml,2638,147599-11.jpg,0,,,,no nearby attachment candidates
2587,Some By Mi AHA BHA PHA 30 Days Cream 60gm,some-by-mi-aha-bha-pha-30-days-cream-60gm,59220,ZBJpbsv1BoDNaiIApEn7X9r7EHjg9iz1ZoDfCjkb,0,,,,no nearby attachment candidates
2588,Some by mi AHA-BHA-PHA 30DAYS Miracle Toner 150ml,some-by-mi-aha-bha-pha-30days-toner-150ml,2643,somebymi_500001.jpg,0,,,,no nearby attachment candidates
2589,Some By Mi Yuja Niacin 30 Days Brightening Toner 150ml,some-by-mi-yuja-niacin-30-days-brightening-toner,2646,4071a77d391621ee8bdedb6da784bbba.jpg,0,,,,no nearby attachment candidates
2591,COSRX Advanced Snail Mucin 96 Power Essence 100ml,cosrx-advanced-snail-mucin-96-power-essence-100ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,,,,no nearby attachment candidates
2591,COSRX Advanced Snail Mucin 96 Power Essence 100ml,cosrx-advanced-snail-mucin-96-power-essence-100ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,,,,no nearby attachment candidates
2592,Cosrx AHA BHA Clarifying Treatment Toner 150ml,cosrx-aha-bha-clarifying-treatment-toner-150ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,,,,no nearby attachment candidates
2592,Cosrx AHA BHA Clarifying Treatment Toner 150ml,cosrx-aha-bha-clarifying-treatment-toner-150ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,,,,no nearby attachment candidates
2593,COSRX Centella Water Alcohol-Free Toner 150ml,cosrx-centella-water-alcohol-free-toner,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,,,,no nearby attachment candidates
2593,COSRX Centella Water Alcohol-Free Toner 150ml,cosrx-centella-water-alcohol-free-toner,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,,,,no nearby attachment candidates
2595,COSRX Low pH Good Morning Gel Cleanser 150ml,cosrx-low-ph-good-morning-gel-cleanser-150ml,2788,76759.jpg,0,,,,no nearby attachment candidates
2598,Some By Mi Aha Bha Pha 30Days Miracle Acne Clear Foam 100ml,some-by-mi-ahabhapha-30-days-miracle-acne-clear-foam-100ml,2669,main1_1181.jpg,0,,,,no nearby attachment candidates
2605,Dear Klairs Gentle Black Deep Cleansing Oil 150ml,klairs-gentle-black-deep-cleansing-oil-150ml,2724,1-_-1563866525.jpg,0,,,,no nearby attachment candidates
2606,Dear Klairs Supple Preparation Unscented Toner 180ml,klairs-supple-preparation-unscented-toner-180ml,2742,unscented-toner.jpg,0.256,,,,no nearby attachment candidates
2611,Innisfree Super Volcanic Pore Clay Mask 2X 100ml,innisfree-super-volcanic-pore-clay-mask-100ml,51721,Vol2,0,2629,somebymi_500029.jpg,,best_score_below_threshold|candidate_margin_too_small
2611,Innisfree Super Volcanic Pore Clay Mask 2X 100ml,innisfree-super-volcanic-pore-clay-mask-100ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,2629,somebymi_500029.jpg,,best_score_below_threshold|candidate_margin_too_small
2611,Innisfree Super Volcanic Pore Clay Mask 2X 100ml,innisfree-super-volcanic-pore-clay-mask-100ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,2629,somebymi_500029.jpg,,best_score_below_threshold|candidate_margin_too_small
2616,Some By Mi Yuja Niacin Brightening Sleeping Mask 60g,some-by-mi-yuja-niacin-brightening-sleeping-mask-60g,57910,3sNz24rVOx7Z4SxBPIBD3xnufaIZ4XwYBPJZDFMQ,0,2633,serum-some-by-mi-snail-truecica-miracle-repair5.jpg,0.282,best_score_below_threshold|candidate_margin_too_small
2616,Some By Mi Yuja Niacin Brightening Sleeping Mask 60g,some-by-mi-yuja-niacin-brightening-sleeping-mask-60g,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,2633,serum-some-by-mi-snail-truecica-miracle-repair5.jpg,0.282,best_score_below_threshold|candidate_margin_too_small
2616,Some By Mi Yuja Niacin Brightening Sleeping Mask 60g,some-by-mi-yuja-niacin-brightening-sleeping-mask-60g,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,2633,serum-some-by-mi-snail-truecica-miracle-repair5.jpg,0.282,best_score_below_threshold|candidate_margin_too_small
2619,Some By Mi Pure Vitamin C V10 Cleansing Soap 100g,some-by-mi-pure-vitamin-c-v10-cleansing-soap-100g,2688,51mJaGUwedL._SL1024_.jpg,0,2633,serum-some-by-mi-snail-truecica-miracle-repair5.jpg,0.282,best_score_below_threshold|candidate_margin_too_small
2628,Dear Klairs Freshly Juiced Vitamin Drop 35ml,klairs-freshly-juiced-vitamin-drop-35ml,2715,71ohxDMSLL._SL1500_.jpg,0,2629,somebymi_500029.jpg,,best_score_below_threshold|candidate_margin_too_small
2690,Dear Klairs Midnight Blue Calming Cream 60ml,dear-klairs-midnight-blue-calming-cream-60ml,2761,thumbnail_optionB-1.jpg,0,2671,ac-calming-spot-gel-15ml.jpg,,best_score_below_threshold|candidate_margin_too_small|shade_or_color_conflict
2693,COSRX AC Collection Ultimate Spot Cream 30g,cosrx-ac-collection-ultimate-spot-cream-30g,56819,ezgif-6-20e779de63,0,2711,SOME-BY-MI-Clear-Spot-Patch-price-in-bd.jpg,0.115,best_score_below_threshold|candidate_margin_too_small
2732,Skinfood Black Sugar Mask Wash Off Exfoliator 100g,skinfood-black-sugar-mask-wash-off-exfoliator-100g,2833,51qUQ6iw9zL.jpg,0,2713,SSSSS_500x.jpg,,best_score_below_threshold|candidate_margin_too_small|shade_or_color_conflict
2734,Nature Republic Soothing &amp; Moisture Aloe Vera 92% Soothing Gel 300 ml,nature-republic-soothing-moisture-aloe-vera-92-soothing-gel-300-ml,2842,b_0000010336.jpg,0,2715,71ohxDMSLL._SL1500_.jpg,,best_score_below_threshold|candidate_margin_too_small
2736,COSRX All About Snail Trial Kit 4pcs kit,cosrx-all-about-snail-trial-kit-4pcs-kit,2864,548fbc45c4ab67823f6dd2d083bbd991.jpg,0,2716,vitamindropport-1000x1000-1.jpg,,best_score_below_threshold|candidate_margin_too_small
2739,Coxir black snail collagen cream 50ml,coxir-black-snail-collagen-cream-50ml,91704,Coxir black snail collagen cream 50ml Price in Bangladesh | Emart,0.854,2720,s-l1600.png,,best_score_below_threshold|candidate_margin_too_small|shade_or_color_conflict
2739,Coxir black snail collagen cream 50ml,coxir-black-snail-collagen-cream-50ml,91704,Coxir black snail collagen cream 50ml Price in Bangladesh | Emart,0.854,2720,s-l1600.png,,best_score_below_threshold|candidate_margin_too_small|shade_or_color_conflict
2739,Coxir black snail collagen cream 50ml,coxir-black-snail-collagen-cream-50ml,91704,Coxir black snail collagen cream 50ml Price in Bangladesh | Emart,0.854,2720,s-l1600.png,,best_score_below_threshold|candidate_margin_too_small|shade_or_color_conflict
2782,Innisfree Green Tea Amino Hydrating Cleansing Foam 150ml,innisfree-green-tea-amino-hydrating-cleansing-foam-150ml,56259,Inn0391,0,2786,new-one-step-green-hero-calming-pad.png,0.106,best_score_below_threshold|candidate_margin_too_small
2782,Innisfree Green Tea Amino Hydrating Cleansing Foam 150ml,innisfree-green-tea-amino-hydrating-cleansing-foam-150ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,2786,new-one-step-green-hero-calming-pad.png,0.106,best_score_below_threshold|candidate_margin_too_small
2782,Innisfree Green Tea Amino Hydrating Cleansing Foam 150ml,innisfree-green-tea-amino-hydrating-cleansing-foam-150ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,2786,new-one-step-green-hero-calming-pad.png,0.106,best_score_below_threshold|candidate_margin_too_small
2808,Innisfree Jeju Volcanic Pore Cleansing Foam EX,innisfree-jeju-volcanic-pore-cleansing-foam-ex,2904,61sS80ezJXL._SL1500_.jpg,0,2827,skinfood-egg-white-pore-mask.jpg,0.12,best_score_below_threshold|candidate_margin_too_small
2811,Innisfree Jeju Orchid Enriched Cream 50ml,innisfree-jeju-orchid-enriched-cream-50ml,2921,d7bff9d6754e50539d5e9866-1563166236.jpg,0,2796,ac-collection-ultimate-spot-cream_final_1.png,0.133,best_score_below_threshold|candidate_margin_too_small
2853,Innisfree Jeju Orchid Eye Cream 30ml,innisfree-jeju-orchid-eye-cream-30ml,2936,31qqJVdbFYL._SS600_.jpg,0,2866,Cosrx-Advanced-Snail-Peptide-Eye-Cream.jpg,0.267,best_score_below_threshold|candidate_margin_too_small
2858,Innisfree My Real Squeeze Mask - Tomato 20ml,innisfree-my-real-squeeze-mask-tomato-20ml,2947,innsifree-real-squze-mask-tomato-700.jpg,0.359,2873,Mat-na-dat-set-Innisfree-Super-Volcanic-Pore-Clay-Mask-100ml1-100x100-1.jpg,0.221,best_score_below_threshold|candidate_margin_too_small
2859,Innisfree My Real Squeeze Mask - Lime 20ml,innisfree-my-real-squeeze-mask-lime-20ml,2949,img05_2_9.jpg,0,2873,Mat-na-dat-set-Innisfree-Super-Volcanic-Pore-Clay-Mask-100ml1-100x100-1.jpg,0.221,best_score_below_threshold|candidate_margin_too_small
